Nation;Total_Active_Cases;Total_Confirmed_Cases;Total_Deaths;Total_Recovered
Afghanistan;7489.0;38288.0;1409.0;29390.0
Albania;3811.0;9844.0;301.0;5732.0
Algeria;11934.0;45469.0;1529.0;32006.0
Andorra;237.0;1199.0;53.0;909.0
Angola;1357.0;2805.0;113.0;1335.0
Anguilla;0.0;3.0;0.0;3.0
Antigua and Barbuda;1.0;95.0;3.0;91.0
Argentina;119376.0;451198.0;9361.0;322461.0
Armenia;4097.0;44651.0;895.0;39659.0
Aruba;1248.0;2292.0;13.0;1031.0
Australia;592.0;6991.0;98.0;6301.0
Austria;3496.0;29086.0;735.0;24855.0
Azerbaijan;2094.0;36899.0;541.0;34264.0
Bahamas;42.0;94.0;11.0;41.0
Bahrain;3226.0;53433.0;194.0;50013.0
Bangladesh;100701.0;323544.0;4441.0;218402.0
Barbados;20.0;177.0;7.0;150.0
Belarus;401.0;72302.0;696.0;71205.0
Belgium;58035.0;86544.0;9996.0;18513.0
Belize;850.0;1118.0;13.0;255.0
Benin;416.0;2194.0;40.0;1738.0
Bermuda;8.0;174.0;9.0;157.0
Bhutan;77.0;227.0;0.0;150.0
Bolivia;47609.0;118781.0;5288.0;65884.0
Bosnia and Herzegovina;6048.0;20804.0;636.0;14120.0
Botswana;1225.0;1724.0;6.0;493.0
Brazil;673811.0;4046150.0;124729.0;3247610.0
British Virgin Islands;38.0;47.0;1.0;8.0
Brunei;3.0;145.0;3.0;139.0
Bulgaria;4182.0;16775.0;658.0;11935.0
Burkina Faso;245.0;1375.0;55.0;1075.0
Burma;91.0;181.0;6.0;84.0
Cabo Verde;582.0;4125.0;41.0;3502.0
Cambodia;2.0;274.0;0.0;272.0
Cameroon;741.0;19604.0;415.0;18448.0
Canada;0.0;132528.0;9189.0;125487.0
Cape Verde;1.0;1.0;0.0;0.0
CAR;1.0;1.0;0.0;0.0
Cayman Islands;0.0;205.0;1.0;204.0
Central African Republic;2860.0;4729.0;62.0;1807.0
Chad;33.0;1018.0;77.0;908.0
Channel Islands;8.0;631.0;48.0;575.0
Chile;15670.0;416501.0;11422.0;389409.0
China;0.0;87838.0;4727.0;83564.0
Colombia;131805.0;641574.0;20618.0;489151.0
Costa Rica;26143.0;44458.0;460.0;17855.0
Cote d'Ivoire;1044.0;18208.0;119.0;17045.0
Croatia;2772.0;11762.0;196.0;8794.0
Cruise Ship: Diamond Princess;48.0;712.0;13.0;651.0
Cuba;640.0;4214.0;100.0;3474.0
Curacao;38.0;78.0;1.0;39.0
Cyprus;338.0;1498.0;21.0;1139.0
Czechia;7363.0;26452.0;426.0;18663.0
Democratic Republic of the Congo;499.0;10125.0;259.0;9367.0
Denmark;1249.0;17374.0;626.0;15499.0
Djibouti;0.0;5387.0;60.0;5327.0
Dominica;2.0;20.0;0.0;18.0
Dominican Republic;23957.0;96629.0;1801.0;70871.0
East Timor;1.0;1.0;0.0;0.0
Ecuador;7661.0;116360.0;6648.0;102051.0
Egypt;18531.0;99425.0;5479.0;75415.0
El Salvador;9902.0;26198.0;744.0;15552.0
Equatorial Guinea;492.0;4965.0;83.0;4390.0
Eritrea;35.0;330.0;0.0;295.0
Estonia;238.0;2471.0;69.0;2164.0
Eswatini;837.0;4720.0;94.0;3789.0
Ethiopia;34074.0;55213.0;856.0;20283.0
Faeroe Islands;33.0;412.0;0.0;379.0
Faroe Islands;0.0;187.0;0.0;187.0
Fench Guiana;5.0;5.0;0.0;0.0
Fiji;4.0;29.0;2.0;23.0
Finland;564.0;8250.0;336.0;7350.0
France;181958.0;300181.0;31017.0;87206.0
French Guiana;418.0;9251.0;61.0;8772.0
French Polynesia;286.0;622.0;0.0;336.0
Gabon;1150.0;8538.0;53.0;7335.0
Gambia;12.0;23.0;1.0;10.0
Georgia;283.0;1596.0;19.0;1294.0
Germany;15313.0;249312.0;9399.0;224600.0
Ghana;856.0;44713.0;280.0;43577.0
Gibraltar;62.0;312.0;0.0;250.0
Greece;6916.0;10998.0;278.0;3804.0
Greenland;0.0;14.0;0.0;14.0
Grenada;0.0;24.0;0.0;24.0
Guadeloupe;1009.0;1363.0;18.0;336.0
United States;3276455.0;6271086.0;198353.0;2796278.0
Guatemala;9155.0;76358.0;2804.0;64399.0
Guernsey;1.0;1.0;0.0;0.0
Guinea;792.0;9579.0;61.0;8726.0
Guinea-Bissau;1044.0;2205.0;34.0;1127.0
Guyana;552.0;1401.0;44.0;805.0
Haiti;2221.0;8301.0;210.0;5870.0
Holy See;0.0;12.0;0.0;12.0
Honduras;49586.0;63158.0;1954.0;11618.0
Hungary;3261.0;7841.0;622.0;3958.0
Iceland;95.0;2128.0;10.0;2023.0
India;837737.0;3943515.0;68627.0;3037151.0
Indonesia;46585.0;190806.0;7914.0;136307.0
Iran;30615.0;384798.0;22162.0;332021.0
Iraq;52007.0;247039.0;7275.0;187757.0
Ireland;4065.0;29206.0;1777.0;23364.0
Isle of Man;0.0;336.0;24.0;312.0
Israel;25757.0;126250.0;997.0;99496.0
Italy;28869.0;272912.0;35507.0;208536.0
Jamaica;1946.0;2896.0;29.0;921.0
Japan;8756.0;69599.0;1319.0;59524.0
Jersey;2.0;2.0;0.0;0.0
Jordan;570.0;2233.0;15.0;1648.0
Kazakhstan;5948.0;106121.0;1588.0;98585.0
Kenya;13476.0;34705.0;585.0;20644.0
Kosovo;219.0;919.0;29.0;671.0
Kuwait;8051.0;87378.0;536.0;78791.0
Kyrgyzstan;3312.0;44199.0;1498.0;39389.0
Laos;1.0;22.0;0.0;21.0
Latvia;199.0;1422.0;36.0;1187.0
Lebanon;13446.0;18963.0;179.0;5338.0
Liberia;61.0;1306.0;82.0;1163.0
Libya;13663.0;15773.0;254.0;1856.0
Liechtenstein;8.0;107.0;2.0;97.0
Lithuania;1005.0;3030.0;86.0;1939.0
Luxembourg;664.0;7928.0;124.0;7140.0
Madagascar;950.0;15268.0;199.0;14119.0
Malaysia;167.0;9396.0;128.0;9101.0
Maldives;2769.0;8281.0;29.0;5483.0
Mali;478.0;2807.0;126.0;2203.0
Malta;388.0;2003.0;13.0;1602.0
Martinique;638.0;754.0;18.0;98.0
Mauritania;358.0;7106.0;160.0;6588.0
Mauritius;11.0;356.0;10.0;335.0
Mayotte;370.0;3374.0;40.0;2964.0
Mexico;120278.0;616894.0;66329.0;430287.0
Moldova;10319.0;38372.0;1036.0;27017.0
Monaco;34.0;154.0;4.0;116.0
Mongolia;14.0;310.0;0.0;296.0
Montenegro;897.0;5165.0;104.0;4164.0
Montserrat;0.0;13.0;1.0;13.0
Morocco;14379.0;66855.0;1253.0;51223.0
Mozambique;1811.0;4207.0;26.0;2370.0
MS Zaandam;7.0;9.0;2.0;0.0
Myanmar;746.0;1111.0;6.0;359.0
Namibia;4513.0;8082.0;86.0;3483.0
Nepal;18395.0;45595.0;285.0;26915.0
Netherlands;65979.0;72464.0;6235.0;250.0
New Caledonia;3.0;26.0;0.0;23.0
New Zealand;110.0;1764.0;24.0;1630.0
Nicaragua;1614.0;4668.0;141.0;2913.0
Niger;17.0;1177.0;69.0;1091.0
Nigeria;10913.0;54588.0;1048.0;42627.0
North Macedonia;2191.0;14762.0;606.0;11965.0
Norway;1508.0;11120.0;264.0;9348.0
Oman;3847.0;86380.0;705.0;81828.0
Pakistan;8909.0;297512.0;6335.0;282268.0
Palestine;8209.0;24471.0;167.0;16095.0
Panama;24670.0;94914.0;2046.0;68198.0
Papua New Guinea;234.0;471.0;5.0;232.0
Paraguay;9335.0;19959.0;373.0;10251.0
Peru;150854.0;670145.0;29405.0;489886.0
Philippines;70332.0;235741.0;3786.0;161623.0
Poland;17356.0;70511.0;2108.0;51047.0
Portugal;14795.0;59051.0;1829.0;42427.0
Qatar;2906.0;119420.0;201.0;116313.0
Republic of the Congo;2784.0;4628.0;102.0;1742.0
Reunion;1022.0;1912.0;10.0;880.0
Romania;50098.0;93934.0;3859.0;39977.0
Russia;163886.0;1020215.0;17770.0;838559.0
Rwanda;2074.0;4255.0;18.0;2163.0
Saint Barthelemy;5.0;18.0;0.0;13.0
Saint Kitts and Nevis;0.0;17.0;0.0;17.0
Saint Lucia;0.0;26.0;0.0;26.0
Saint Martin;154.0;239.0;6.0;79.0
Saint Vincent and the Grenadines;4.0;61.0;0.0;57.0
San Marino;30.0;735.0;45.0;660.0
Saudi Arabia;20373.0;318319.0;3982.0;293964.0
Senegal;3752.0;13936.0;291.0;9893.0
Serbia;770.0;31676.0;718.0;30188.0
Seychelles;9.0;136.0;0.0;127.0
Singapore;933.0;56988.0;27.0;56028.0
Sint Maarten;183.0;504.0;19.0;302.0
Slovakia;1631.0;4437.0;37.0;2769.0
Slovenia;514.0;3126.0;134.0;2478.0
Somalia;731.0;3310.0;98.0;2481.0
South Africa;63565.0;633015.0;14563.0;554887.0
South Korea;4728.0;20842.0;331.0;15783.0
Spain;262321.0;488513.0;29234.0;196958.0
Sri Lanka;168.0;3111.0;12.0;2931.0
Sudan;5754.0;13189.0;823.0;6612.0
Suriname;824.0;4215.0;73.0;3318.0
Sweden;76269.0;87072.0;5832.0;4971.0
Switzerland;5424.0;43937.0;2013.0;36500.0
Syria;2168.0;2973.0;124.0;681.0
Taiwan;13.0;491.0;7.0;471.0
Tanzania;305.0;509.0;21.0;183.0
Thailand;96.0;3431.0;58.0;3277.0
The Bahamas;1443.0;2386.0;50.0;893.0
The Gambia;1927.0;3101.0;99.0;1075.0
Timor-Leste;2.0;27.0;0.0;25.0
Togo;341.0;1443.0;31.0;1071.0
Trinidad and Tobago;1061.0;1984.0;29.0;894.0
Tunisia;2629.0;4394.0;84.0;1681.0
Turkey;20345.0;274943.0;6511.0;248087.0
Turks and Caicos;352.0;577.0;5.0;220.0
Turks and Caicos Islands;1.0;12.0;1.0;10.0
Uganda;1785.0;3418.0;37.0;1596.0
Ukraine;68514.0;130951.0;2761.0;59676.0
United Arab Emirates;9343.0;73378.0;387.0;63648.0
United Kingdom;293439.0;340411.0;46628.0;344.0
Uruguay;155.0;1636.0;44.0;1437.0
Uzbekistan;2391.0;42903.0;336.0;40176.0
Venezuela;8901.0;49877.0;402.0;40574.0
Vietnam;228.0;1052.0;35.0;789.0
West Bank and Gaza;175.0;495.0;4.0;316.0
Zambia;669.0;12523.0;292.0;11562.0
Zimbabwe;1209.0;6678.0;206.0;5263.0
Sierra Leone;364.0;2035.0;71.0;1600.0
Burundi;90.0;448.0;1.0;357.0
Caribbean Netherlands;11.0;18.0;0.0;7.0
Malawi;1902.0;5593.0;175.0;3516.0
Falkland Islands;0.0;13.0;0.0;13.0
Western Sahara;1.0;10.0;1.0;8.0
Saint Pierre Miquelon;0.0;5.0;0.0;6.0
South Sudan;1196.0;2533.0;47.0;1290.0
Sao Tome and Principe;25.0;897.0;15.0;857.0
Yemen;228.0;1979.0;571.0;1180.0
Falkland Islands (Malvinas);0.0;13.0;0.0;13.0
Saint Pierre and Miquelon;0.0;1.0;0.0;1.0
Tajikistan;1139.0;8690.0;69.0;7482.0
Comoros;31.0;448.0;7.0;410.0
Lesotho;526.0;1085.0;31.0;528.0
